"","logFC","logCPM","F","PValue","FDR"
"PY17X_MIT00800",-1.15495741766904,1.84724196646469,6.08230905753314,0.0328115037208008,0.0367156948386292
"PY17X_1342700",-0.591837635762994,5.51257931754403,6.06452982114606,0.0330165958277025,0.0369368507724817
"PY17X_0623900",-0.520155386853404,2.52445661675919,6.0585395881511,0.033086047449138,0.0370061952511686
"PY17X_1229200",0.31906407328697,5.23744141964438,5.94058033887909,0.0344906492386567,0.0385655218149832
"PY17X_0935200",-0.350560134547919,5.17770309907036,5.94016234565785,0.0344957542788177,0.0385655218149832
"PY17X_0108900",0.586656846734739,2.13039869813174,5.92481239521216,0.0346838659139586,0.0387670815222325
"PY17X_0300400",-0.464113894430699,5.11365301425131,5.90766936543001,0.0348954314193806,0.0389947594395604
"PY17X_1004700",-0.548489473716616,3.05398786089512,5.87234589280773,0.0353363469653219,0.0394785697836194
"PY17X_1206900",0.317479211895556,7.23605173676036,5.83700301931416,0.0357843203928599,0.0399700454962843
"PY17X_0400011",0.974063270490356,0.0765921571918013,5.82434679773446,0.0359464206960185,0.0401420597047021
"PY17X_1309900",-0.656208554273927,1.59282602116498,5.81601681270871,0.0360535994589011,0.0402526782875228
"PY17X_1018700",-0.574899125026624,4.20169121457203,5.80899694034495,0.0361442241912638,0.0403447691648431
"PY17X_1123000",0.384946489940739,4.64090965064837,5.74120179407812,0.0370338976973531,0.041328528932241
"PY17X_1348000",-0.301599604828269,5.74855570951694,5.73253197993149,0.037149588433665,0.0414483026288257
"PY17X_1454700",-0.44742207293654,3.67165138507884,5.72617389890052,0.0372347115163606,0.0415339253376284
"PY17X_1443100",0.305553681668123,6.82006885055694,5.69838862307327,0.0376095096236692,0.0419425584371972
"PY17X_0929900",-0.600136295761571,1.49226166566981,5.6841217505432,0.0378037451538977,0.0421496875101726
"PY17X_0527901",-1.41223807813851,0.541217954100745,5.67435981182571,0.0379373541096362,0.0422891423678266
"PY17X_0217500",-1.053119525869,1.74660210169693,5.63580027765913,0.0384707745596832,0.0428741080993456
"PY17X_1303900",0.60408899483902,2.02792832165262,5.62287477271714,0.0386516277635151,0.0430659773372259
"PY17X_1134400",0.284153611400712,6.48564933419037,5.59626577991182,0.0390272187001865,0.0434746900153123
